date,regime,sell_total,rank_rotation,screen_eject,weight_drift
2020-09-01,bull,0.5741267185253578,0.16157599246792656,0.41255072605743126,
2020-10-05,bull,0.5021778737735371,0.05027663612328263,0.4519012376502545,
2020-11-02,bull,0.561713009306604,,0.561713009306604,
2020-12-01,bull,0.48584680569324856,0.163672558125704,0.32217424756754454,
2021-01-04,bull,0.5274017989488211,0.34598835722114396,0.18141344172767712,
2021-02-01,bull,0.6469854349000553,,0.6469854349000553,
2021-03-02,bull,0.6788271767098389,0.5422110753620981,0.13661610134774083,
2021-04-01,bull,0.36934861908747907,0.23018228963535803,0.13916632945212107,
2021-05-03,bull,0.46093873951462117,0.11477937514919984,0.34615936436542133,
2021-06-01,bull,0.6245116496881575,0.08322312125265768,0.5412885284354998,
2021-07-01,bull,0.23769760886828167,0.23769760886828167,,
2021-08-02,bull,0.6870810404372052,0.19458531005536395,0.4924957303818413,
2021-09-01,bull,0.4800536206749149,,0.4800536206749149,
2021-10-01,bull,0.6640600893217127,,0.6640600893217127,
2021-11-01,bull,0.6558876562051648,0.05953066079249883,0.596356995412666,
2021-12-01,bull,0.7114054110675856,0.15993603104525395,0.5514693800223316,
2022-01-03,bull,0.47882132789184234,0.17804339911959868,0.27068600093196626,0.030091927840277394
2022-02-07,bull,0.8797592468877496,,0.8797592468877496,
2022-03-01,bull,0.4959903780417174,0.29510294223298134,0.20088743580873608,
2022-04-01,bull,0.6502343214485686,0.1253607079566294,0.5248736134919392,
2022-05-03,bull,0.5762765628246879,,0.5762765628246879,
2022-06-01,bull,0.5995440734124691,0.05553585268819722,0.5440082207242718,
2022-07-01,bull,0.7476435396687716,,0.7476435396687716,
2022-08-01,bull,0.6508354777412976,0.5873537358416981,0.06348174189959946,
2022-09-01,bull,0.5738414394895777,0.05161504489428073,0.4914980063696834,0.030728388225613537
2022-10-03,bull,0.6063264525860251,,0.6063264525860251,
2022-11-01,bull,0.6942986397254308,,0.6942986397254308,
2022-12-01,bull,0.7937191149907186,0.4932505163360988,0.30046859865461983,
2023-01-03,bull,0.43729263674626784,0.17380168761659218,0.2634909491296757,
2023-02-01,bull,0.40137485492277936,0.19562757621298726,0.20574727870979212,
2023-03-01,bull,0.522300817766165,0.10727101953582657,0.4150297982303385,
2023-04-06,bull,0.48091138778405357,0.11777520626298943,0.36313618152106414,
2023-05-02,bull,0.5467768278617487,0.1624094331735917,0.38436739468815706,
2023-06-01,bull,0.6610003162323772,0.2073340519901968,0.4536662642421804,
2023-07-03,bull,0.27695006806316946,0.04307399927761862,0.23387606878555087,
2023-08-01,bull,0.26250816737228133,0.05516694664406572,0.2073412207282156,
2023-09-01,bull,0.5839024064083738,0.1,0.48390240640837373,
2023-10-02,bull,0.46990862724690663,0.16665475624099316,0.3032538710059135,
2023-11-01,bull,0.74798369819878,0.06535568049655484,0.6826280177022251,
2023-12-01,bull,0.6260455109363723,0.3335358441091805,0.2925096668271917,
2024-01-02,bull,0.6262959573492494,0.1396672186211668,0.48662873872808254,
2024-02-01,bull,0.7029109119220397,,0.6707933461190834,0.0321175658029563
2024-03-01,bull,0.6173907958827191,0.2752647557331861,0.34212604014953296,
2024-04-01,bull,0.4967414744329974,0.1677353131052211,0.2893643112588131,0.03964185006896316
2024-05-02,bull,0.2032662183630294,0.04356557925707614,0.15970063910595328,
2024-06-03,bull,0.6446911221947371,0.27679046873412716,0.3679006534606099,
2024-07-01,bull,0.3240914731926402,0.15537598079272946,0.1687154923999107,
2024-08-01,bull,0.519618193809321,0.1552664430674845,0.33258410923186776,0.03176764150996867
2024-09-02,bull,0.5151990353215092,,0.5151990353215092,
2024-10-01,bull,0.7303360429751846,,0.7303360429751846,
2024-11-01,bull,0.5651231016630447,,0.5651231016630447,
2024-12-02,bull,0.598486996355613,0.11182268344738747,0.48666431290822554,
2025-01-02,bull,0.583200660141355,0.05828259539367389,0.5249180647476811,
2025-02-03,bull,0.4646172728042162,,0.4646172728042162,
2025-03-03,bull,0.3885632806353695,0.1339526575006506,0.2546106231347189,
2025-04-01,bull,0.4910095573943783,,0.4910095573943783,
2025-05-02,bull,0.5446191429406207,0.04488022900644159,0.49973891393417913,
2025-06-02,bull,0.5341386361654518,0.054578792918681944,0.4795598432467698,
2025-07-01,bull,0.5289947631887986,0.11226424123323529,0.41673052195556326,
2025-08-01,bull,0.6598402615151048,0.059097905630047506,0.6007423558850573,
2025-09-01,bull,0.5598087975039774,0.11885766356625882,0.44095113393771856,
2025-10-01,bull,0.49184462166619347,0.24626539506439474,0.2455792266017987,
2025-11-03,bull,0.5474346265438026,0.05251310177079831,0.49492152477300433,
2025-12-01,bull,0.48510241073977434,0.06489307994423196,0.4202093307955424,
